"","geodis","category","bray_all","category1"
"123",88.13470516,"Local",0.616600790513834,"Local"
"124",89.91742255,"Local",0.674308300395257,"Local"
"125",95.98828175,"Local",0.761264822134387,"Local"
"126",0.501969309,"Local",0.364426877470356,"Local"
"127",3.011258732,"Local",0.711462450592885,"Local"
"128",18.06866664,"Local",0.740711462450593,"Local"
"129",38.14521052,"Local",0.822134387351779,"Local"
"130",2.509289423,"Local",0.849802371541502,"Local"
"131",17.56669733,"Local",0.863636363636364,"Local"
"132",37.64324122,"Local",0.88498023715415,"Local"
"133",15.05740791,"Local",0.571936758893281,"Local"
"134",35.13395179,"Local",0.694071146245059,"Local"
"135",20.07654388,"Local",0.720553359683794,"Local"
"136",5.795573543,"Local",0.671541501976285,"Local"
"137",17.3867205,"Local",0.709090909090909,"Local"
"138",86.95588924,"Local",0.861264822134387,"Local"
"139",1.248785033,"Local",0.645849802371542,"Local"
"140",3.018888614,"Local",0.485770750988142,"Local"
"141",7.523496415,"Local",0.536363636363636,"Local"
"142",35.32972615,"Local",0.635177865612648,"Local"
"143",11.59114696,"Local",0.439920948616601,"Local"
"144",81.1603157,"Local",0.871146245059289,"Local"
"145",6.970194134,"Local",0.709881422924901,"Local"
"146",7.49251919,"Local",0.656916996047431,"Local"
"147",10.17974637,"Local",0.656916996047431,"Local"
"148",35.98910753,"Local",0.714624505928854,"Local"
"149",69.56916874,"Local",0.863241106719368,"Local"
"150",18.55165551,"Local",0.676284584980237,"Local"
"151",18.75415116,"Local",0.689723320158103,"Local"
"152",19.98018377,"Local",0.700790513833992,"Local"
"153",39.88484064,"Local",0.641106719367589,"Local"
"154",88.11622918,"Local",0.868774703557312,"Local"
"155",88.15908499,"Local",0.859288537549407,"Local"
"156",88.42802053,"Local",0.862055335968379,"Local"
"157",94.92698491,"Local",0.85296442687747,"Local"
"158",2.32282811,"Local",0.615415019762846,"Local"
"159",6.969000055,"Local",0.647430830039526,"Local"
"160",34.84603173,"Local",0.646640316205534,"Local"
"161",4.646171946,"Local",0.500790513833992,"Local"
"162",32.52320362,"Local",0.607509881422925,"Local"
"163",27.87703167,"Local",0.666798418972332,"Local"
"164",5.795528155,"Local",0.7,"Local"
"165",17.38658433,"Local",0.558893280632411,"Local"
"166",86.95520822,"Local",0.739525691699605,"Local"
"167",1.159105636,"Local",0.593280632411067,"Local"
"168",1.249090263,"Local",0.552569169960474,"Local"
"169",3.023551211,"Local",0.607114624505929,"Local"
"170",7.536809012,"Local",0.515810276679842,"Local"
"171",16.79637615,"Local",0.570750988142293,"Local"
"172",35.39369715,"Local",0.623715415019763,"Local"
"173",11.59105618,"Local",0.606324110671937,"Local"
"174",81.15968006,"Local",0.878260869565217,"Local"
"175",6.954633792,"Local",0.571146245059289,"Local"
"176",6.970195992,"Local",0.615415019762846,"Local"
"177",7.494349922,"Local",0.71304347826087,"Local"
"178",10.18955306,"Local",0.692490118577075,"Local"
"179",18.14227506,"Local",0.630434782608696,"Local"
"180",36.05189835,"Local",0.640711462450593,"Local"
"181",69.56862389,"Local",0.792490118577075,"Local"
"182",18.54568997,"Local",0.462845849802372,"Local"
